precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi"
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:58:47",1047,1032,5,8,2,567,557,0,8,2,547,20,1089,522,72,328,28,111,8
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:07:42",1146,1087,42,17,0,516,499,0,17,0,501,15,1200,684,35,163,23,264,16
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:05:26",1730,1635,71,23,1,748,723,1,23,1,723,25,1800,1052,42,236,43,385,17
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:57:03",1975,1959,0,16,0,650,634,0,16,0,629,21,2200,1550,73,192,30,321,13
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:27:12",1760,1661,21,78,0,953,875,0,78,0,866,23,1800,911,122,294,32,404,14
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:28:12",1252,1175,12,65,0,630,565,0,65,0,596,19,1300,685,82,186,27,285,16
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:42:50",1431,1392,0,27,12,1100,1061,0,27,12,1032,68,1500,400,114,732,76,73,37
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:06:08",687,669,1,13,4,446,428,1,13,4,421,20,750,309,71,157,24,143,26
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:31",1293,1273,1,10,9,726,707,0,10,9,696,30,1400,674,76,514,41,50,15
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:51:32",1851,1781,37,22,11,961,928,0,22,11,924,37,2000,1039,136,534,87,120,47
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:21",1899,1878,0,21,0,890,869,0,21,0,872,18,2050,1160,88,339,31,389,25
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:12:11",1900,1871,0,29,0,843,814,0,29,0,819,24,2000,1157,136,248,15,401,19
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:18:27",2004,1961,0,43,0,1002,959,0,43,0,977,25,2200,1198,141,339,32,438,27
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:07",1866,1845,0,21,0,874,853,0,21,0,853,21,2000,1126,157,251,39,383,23
