precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",13,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:30:12",902,892,4,6,0,356,350,0,6,0,338,18,988,632,98,12,111,56,20,22,0,19
38,TULCEA,"LICEUL ”DIMITRIE CANTEMIR” BABADAG",54,"ORAŞ BABADAG",159650,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:50:59",1359,1310,0,46,3,694,645,0,46,3,659,35,1506,812,323,257,40,10,10,6,13,0
38,TULCEA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” TULCEA",41,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:38:49",1496,1489,0,7,0,438,431,0,7,0,430,8,1652,1214,92,8,134,99,19,28,2,48
38,TULCEA,"LICEUL TEHNOLOGIC ”HENRI COANDĂ” TULCEA",36,"MUNICIPIUL TULCEA",159614,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:44:09",1453,1442,0,11,0,589,578,0,11,0,581,8,1592,1003,134,8,205,107,38,51,3,35
38,TULCEA,"LICEUL TEHNOLOGIC TOPOLOG",190,TOPOLOG,161384,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:14",920,915,0,0,5,500,495,0,0,5,467,33,1018,518,79,5,269,87,4,10,1,12
38,TULCEA,"LICEUL TEHNOLOGIC TOPOLOG",191,TOPOLOG,161384,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:07:24",977,971,0,1,5,557,551,0,1,5,503,54,1079,522,100,11,262,87,3,17,4,19
38,TULCEA,"LICEUL TEORETIC ”CONSTANTIN BRĂTESCU”",61,"ORAŞ ISACCEA",159687,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:21:59",1148,1127,2,9,10,629,610,0,9,10,607,21,1257,628,133,2,135,272,11,24,5,25
38,TULCEA,"LICEUL TEORETIC” GHEORGHE MUNTEANU MURGOCI”",69,"ORAŞ MĂCIN",159730,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:41",1314,1301,2,7,4,552,541,0,7,4,506,46,1444,892,165,6,185,66,8,37,1,38
38,TULCEA,"LICEUL TEORETIC” GHEORGHE MUNTEANU MURGOCI”",70,"ORAŞ MĂCIN",159730,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:21",903,897,0,6,0,332,326,0,6,0,302,30,993,661,75,0,139,41,9,11,2,25
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",16,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:21",969,949,2,6,12,432,414,0,6,12,420,12,1073,641,116,4,140,69,30,29,5,27
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",15,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:28",1095,1087,2,5,1,503,497,0,5,1,498,5,1215,712,116,10,171,104,24,41,7,25
38,TULCEA,"LICEUL TEORETIC „JEAN BART”",73,"ORAŞ SULINA",159767,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:33",1001,966,2,15,18,550,517,0,15,18,523,27,1071,521,84,12,190,127,30,61,3,16
38,TULCEA,"PUNCT DE ÎNCASARE TAXE ŞI IMPOZITE LOCALE",28,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:46:44",1566,1556,2,8,0,688,680,0,8,0,674,14,1741,1053,162,3,249,128,38,64,5,25
38,TULCEA,"SALA DE EDUCAȚIE FIZICĂ ȘCOLARĂ",204,VĂCĂRENI,161543,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:32:44",1778,1710,3,26,39,1232,1166,2,26,38,1165,67,1929,697,651,4,417,61,7,0,1,24
