precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"COLEGIUL”PETRU MAIOR”",92,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:57",992,989,0,3,0,429,426,0,3,0,416,13,1100,671,131,85,100,24,63,3,2,8
28,MUREŞ,"COLEGIUL TEHNIC",139,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:58",870,865,1,4,0,348,343,1,4,0,336,12,958,610,105,82,64,42,28,2,8,5
28,MUREŞ,"FOSTA ŞCOALĂ GENERALĂ LUIERIU",538,SUSENI,119723,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:02",497,478,0,7,12,343,324,0,7,12,322,21,540,197,166,119,2,30,4,1,0,0
28,MUREŞ,"FOSTA SCOALA PRIMARA",494,RUŞII-MUNŢI,119153,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:13:50",306,297,0,8,1,186,177,0,8,1,180,6,330,144,124,32,2,11,9,2,0,0
28,MUREŞ,"FOSTA SCOALA PRIMARA COMORI",410,GURGHIU,117319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:09",144,140,0,4,0,93,89,0,4,0,89,4,160,67,17,60,2,0,9,0,0,1
28,MUREŞ,"FOSTA ȘCOALA PRIMARA SATU -NOU",522,"SÂNPETRU DE CÂMPIE",119527,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:28",180,165,0,10,5,133,118,0,10,5,119,14,175,42,52,24,1,38,3,1,0,0
28,MUREŞ,"FOSTUL LICEU TEHNOLOGIC ”EMIL A. DANDEA”",85,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:53",970,963,1,6,0,381,375,0,6,0,369,12,1080,699,48,85,111,52,28,3,41,1
28,MUREŞ,"FOSTUL LICEU TEHNOLOGIC ”EMIL A.DANDEA”",84,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:05",1268,1258,2,7,1,555,547,0,7,1,497,58,1400,845,160,49,172,42,36,8,24,6
28,MUREŞ,"FOSTUL SEDIU AL POSTEI ROMANE",481,PETELEA,118799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:57",1127,1110,2,3,12,593,578,0,3,12,542,51,1247,654,84,400,5,27,19,1,3,3
28,MUREŞ,"GRĂDINIŢA ”CĂSUŢA FERMECATĂ” - LUDUȘ",169,"ORAŞ LUDUŞ",114710,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:03:39",1264,1252,2,7,3,639,627,2,7,3,617,22,1400,761,259,136,102,63,37,9,4,7
